"dates","SPI.1","SPI.3","SPI.6","SPI.12","SPI.24","SPEI.1","SPEI.3","SPEI.6","SPEI.12","SPEI.24","SSI.1","SSI.3","SSI.6","SSI.12","SSI.24"
1987-09-01,0.308687709449491,-0.830450770922498,-0.555702156605688,-0.612940275665127,-0.53602453111715,0.193239327443331,-1.1709095219022,-0.91678869513976,-0.408055236693327,0.0431863483458072,-1.04918591452112,-1.06569677716447,-0.980197840149605,-0.976572138466645,-0.819395438164137
1987-10-01,-0.0603364940621797,-0.494725057479796,-0.424920699816632,-0.583418521637576,-0.403626023552863,0.100087308808766,-0.640155095990198,-0.765359733503403,-0.339643585699887,0.147459342497212,0.536370457919934,-0.710768934666194,-0.755941131242423,-0.787429052816889,-0.691203520262458
1987-11-01,NA,0.117506054231971,-0.313432933488413,-0.584196805539525,-0.403049596066723,0.533916246225922,0.2835782085974,-0.541167164795165,-0.410937612038286,0.145008839507875,0.232882182113982,-0.501176454735044,-0.722139452805491,-0.796661275066386,-0.677918979593323
1987-12-01,NA,-0.128463596748857,-0.887395615197533,-0.566701471790807,-0.410034735225676,1.26739842874981,0.448320133836326,-0.987129601077066,-0.356390161601829,0.144734659034543,0.54099229416051,0.441300711177774,-0.783575154111013,-0.734078476249977,-0.578505026863436
1988-01-01,NA,NA,-0.48807807119898,-0.543343908277674,-0.384854884396974,1.81776791561685,1.39084815544098,-0.168517615788999,-0.254762780163565,0.17651380083118,0.53604740801157,0.240487209332054,-0.667712946757993,-0.720690670488432,-0.552164944896821
1988-02-01,NA,NA,0.148115773272247,-0.541735942488924,-0.38527344309278,0.881538992977087,1.62275059893049,0.817137949726457,-0.286707937656405,0.124042521443265,NA,0.633114573032991,-0.48403360616444,-0.720683809077223,-0.552168150445457
1988-03-01,NA,NA,-0.303826737716775,-0.600764233594741,-0.397871778059219,-0.476253404076307,0.57596530996907,0.613545741755889,-0.5679016939867,-0.0652303205846109,NA,0.520506842064679,0.536724524029284,-0.720040946153549,-0.552468660924889
1988-04-01,1.88536699579239,1.67981129886861,1.65124587041987,-0.026363066490345,-0.0157080173475047,1.68674323694159,1.21581375902773,1.54204384341977,-0.123348923149779,0.27786769398587,-0.465337670621405,-1.12543538556973,0.185019968526558,-0.72196212928243,-0.553926512402721
1988-05-01,-0.384380355142602,0.87681198934534,0.84702218574573,-0.0450502469035499,-0.193800474407785,-0.873061162657887,0.387219154409261,0.821889881537243,-0.140945607978274,0.0550008728956469,0.266186014759275,0.234522830431963,0.315525256085725,-0.726656015515645,-0.552270322421119
1988-06-01,-1.84409385273645,-0.351735271165568,-0.405642825672686,-1.01994801113778,-0.651686596133702,-1.60979806979964,-0.726637437569333,-0.227622884555825,-0.999194255879649,-0.356632411675674,-0.0971950362980924,-0.0730004828431586,-0.0836215540122409,-0.773204359696333,-0.574558680768681
