year,month,pr,pet,lr
1991,9,76.9,156.1278467,8.058582857
1991,10,42.65,167.2247745,0.809823086
1991,11,0,166.3188275,0.067767771
1991,12,0,172.3752255,0.024768
1992,1,0.1,168.760062,0.001851429
1992,2,0,183.1333991,0
1992,3,0,187.1122886,0
1992,4,25.95,185.3854284,0
1992,5,20.5,194.6182356,0.026833371
1992,6,77.35,175.603664,0.390991131
1992,7,215.3,155.8551015,2.196148114
1992,8,249.85,133.6130778,6.404139429
1992,9,93.1,146.1729425,12.12470778
1992,10,5.25,165.3610485,1.004280686
1992,11,18.7,154.6725479,0.092221989
1992,12,0,163.0610485,0.001316571
1993,1,0,167.0973224,0
1993,2,0,163.3888952,0
1993,3,4.95,189.8474634,0
1993,4,12.85,191.123478,0
1993,5,8.15,210.4921646,0.015531429
1993,6,126.1,179.8714487,0.60618144
1993,7,204.65,157.3130778,0.671344457
1993,8,190.4,146.7005919,6.458914286
1993,9,81.4,151.3462796,3.599153143
1993,10,48.75,171.0094138,0.487957714
1993,11,0,159.0493517,0.104300297
1993,12,0,172.0454904,0.016704
1994,1,0,170.3514374,0
1994,2,0,170.1368658,0
1994,3,2.75,185.1766065,0
1994,4,0.85,193.8345829,0
1994,5,38.1,195.8696731,0
1994,6,108.8,177.831708,0.176349257
1994,7,165.1,157.9489572,4.361690057
1994,8,288.85,134.2434047,21.24597754
1994,9,142.05,136.4573844,9.414588754
1994,10,99.75,156.0639233,4.630834286
1994,11,0,163.3065389,0.95535552
1994,12,0,182.6207159,0.119972571
1995,1,0,173.6364713,0
1995,2,0,164.088106,0
1995,3,0,203.8305242,0
1995,4,22.7,188.7667982,0
1995,5,35.6,204.2374577,0.013873371
1995,6,129.3,184.6522266,0.339712599
1995,7,97.15,165.325761,1.761498514
1995,8,225.65,136.4090192,2.554082155
1995,9,133.2,151.376212,1.339165662
1995,10,12.9,176.8702649,0.286029574
1995,11,0.2,182.8073281,0.126911856
1995,12,0,193.8104002,0.04108702
1996,1,0,192.3378523,0.01512
1996,2,0,198.1445885,0
1996,3,0,213.2445885,0
1996,4,16,186.3706595,0
1996,5,40.05,206.976212,0.0147312
1996,6,38,183.5370631,0.579074331
1996,7,142.65,170.5034667,0.442026514
1996,8,240.15,146.0877114,4.6845504
1996,9,207.9,138.8575817,7.517120914
1996,10,19.15,169.1631342,1.622661943
1996,11,0,166.5537204,0.136430275
1996,12,0,167.6113021,0.023382857
1997,1,0,176.5414318,0.000740571
1997,2,0,175.3644307,0
1997,3,24.6,194.1748309,0
1997,4,29.5,188.8222943,0.027485486
1997,5,40.45,204.8282413,0
1997,6,95.1,172.6186302,0.309852617
1997,7,137.05,172.2100056,1.17579561
1997,8,158.5,148.0124859,3.090223131
1997,9,63.1,150.8667982,4.798703067
1997,10,41.05,175.7606539,1.167412114
1997,11,0,169.0007892,0.170057143
1997,12,0,175.4122886,0
1998,1,0,179.0454904,0
1998,2,0,185.5579763,0
1998,3,0,212.7756201,0
1998,4,8.9,200.3309188,0.454611798
1998,5,61.65,199.2401353,0.498444198
1998,6,54.75,168.9274521,2.74994304
1998,7,136.5,153.857779,5.812671086
1998,8,199.7,141.6946449,9.244433829
1998,9,157.65,143.6126832,6.441647657
1998,10,50.65,175.3032694,2.2646592
1998,11,0,173.1516347,0.204433608
1998,12,0,176.4090192,0
1999,1,0,186.8448985,0
1999,2,0,170.6426156,0
1999,3,0.35,213.6,0
1999,4,12.2,203.6001973,0
1999,5,43.45,214.1188275,0.0285696
1999,6,58.45,198.9251691,0.116863269
1999,7,247.55,155.679876,5.035338514
1999,8,211.1,132.9311161,18.13138149
1999,9,153.95,133.5733371,12.47183355
1999,10,9.3,165.4938557,1.878904197
1999,11,0,167.617841,0
1999,12,0,171.5324126,0
2000,1,0,174.4324126,0
2000,2,0,179.6656144,0
2000,3,0,196.5690812,0
2000,4,13.15,196.5570744,0
2000,5,63.05,200.0298196,0.1788576
2000,6,102.7,187.7985062,0.354484114
2000,7,145.55,154.9773957,2.397937371
2000,8,165.85,147.1040586,1.58275584
2000,9,48.3,157.9299324,0.232277533
2000,10,47.35,169.3182356,0.059489633
2000,11,0,165.8053551,0
2000,12,0,165.7447012,0
2001,1,0,171.2473788,0
2001,2,0,170.4377678,0
2001,3,0,200.1721533,0
2001,4,1.2,201.2297351,0
2001,5,57,209.9735344,0.07419168
2001,6,57.9,179.9643179,0.176108343
2001,7,200.65,156.1760147,0.3819456
2001,8,246.3,145.1276494,5.626889006
2001,9,86.95,153.0616404,7.262765273
2001,10,26.3,177.2245772,0.855022629
2001,11,0,173.0786922,0.36619595
2001,12,0,180.2387542,0.086304
2002,1,0,183.3352875,0
2002,2,0,171.4840474,0
2002,3,0,195.4332018,0
2002,4,3.5,191.0184329,0
2002,5,34.55,208.0552988,0.011108571
2002,6,50.55,194.6618377,0.180454011
2002,7,185,170.0552988,0.235822491
2002,8,148.4,149.0430101,6.355012114
2002,9,143.5,158.3190248,3.941589181
2002,10,51.5,168.2182356,2.138051931
2002,11,0.9,167.7662063,0
2002,12,0,178.471956,0
2003,1,0,171.6901917,0
2003,2,1.2,171.6211105,0
2003,3,23.55,202.0905862,0
2003,4,22.55,204.2967306,0
2003,5,44.05,210.7671928,0.227849143
2003,6,170.5,167.0528185,4.200394423
2003,7,167.3,156.2092165,11.80776626
2003,8,200.75,145.6245772,11.6291232
2003,9,123.15,139.5575817,15.51006025
2003,10,35.7,181.0032694,5.963217231
2003,11,0,164.571956,0
2003,12,0,170.5803833,0
2004,1,0,167.1586809,0
2004,2,0,174.914177,0
2004,3,0.3,195.814177,0
2004,4,30.7,197.6708568,0
2004,5,29.6,228.36708,0.267553029
2004,6,71.7,193.4985062,0.21074478
2004,7,186.1,158.9952368,1.32384384
2004,8,225.1,153.2190248,0.457648457
2004,9,126.95,158.3011838,1.130171429
2004,10,8.65,199.0288331,0.732301714
2004,11,4.9,178.0913754,0
2004,12,0,174.5418264,0
2005,1,0,177.5750282,0
2005,2,0,178.5573844,0
2005,3,3.5,195.2817644,0
2005,4,18.4,199.1758174,0
2005,5,29.3,207.9948422,0.071856
2005,6,126.15,173.9307215,0.24803058
2005,7,186.75,152.7368658,6.704397257
2005,8,202.25,141.0612458,16.62959314
2005,9,128.45,153.4612458,7.643233469
2005,10,12.7,178.4217024,1.928575543
2005,11,0,156.0543123,0.171927771
2005,12,0,161.3053551,0
2006,1,0,160.9172492,0
2006,2,0,158.6352875,0.002221714
2006,3,0,194.0377678,0.208224
2006,4,3.35,190.3176437,0.000370286
2006,5,25.6,201.7241826,0
2006,6,92.15,203.7830609,NA
2006,7,167.1,170.628044,0.4709892
2006,8,187.45,145.8430101,NA
2006,9,119.65,148.7186302,8.125779048
2006,10,26.85,166.5030722,1.809470921
2006,11,0,166.268292,0.176519314
2006,12,0,171.0744363,0.060609429
2007,1,0,177.5158681,0.014482286
2007,2,0,170.7103157,0
2007,3,0,200.4527339,0
2007,4,43.15,178.7602593,0
2007,5,33,195.7973224,0
2007,6,74.55,183.3813698,0.098335543
2007,7,140.65,157.1633315,1.436923337
2007,8,347,137.8760147,17.43706286
2007,9,155.05,145.9485626,17.36389714
2007,10,4.35,180.9543123,2.433233829
2007,11,0.05,175.9233935,0.234678857
2007,12,0,174.7953495,0
2008,1,0,172.7162627,0
2008,2,0,188.8226043,0
2008,3,2.2,205.1897971,0
2008,4,2.45,198.9750282,0
2008,5,33.8,202.3579763,0.530304069
2008,6,103.2,185.1952368,0.313377051
2008,7,235.85,155.6522266,6.408412114
2008,8,239.85,137.6754228,7.403780571
2008,9,105.2,145.4581736,6.916649143
2008,10,40.8,170.0086246,1.95591648
2008,11,0,154.7097238,0.196794073
2008,12,0,158.4634442,0.000370286
2009,1,0,150.92469,0
2009,2,0,172.6203213,0
2009,3,0.1,195.6988162,0
2009,4,6.4,192.511894,0
2009,5,52.8,209.5274521,0.203457708
2009,6,102.35,181.7554961,0.301600594
2009,7,196.05,163.9337937,1.625558242
2009,8,195.25,147.9184329,8.403081429
2009,9,246.55,147.3969278,NA
2009,10,26.15,179.1239853,NA
2009,11,0,166.4408399,NA
2009,12,0,172.6287486,0
2010,1,0,175.1254791,0
2010,2,0,177.7381623,0
2010,3,0,189.5012965,0
2010,4,30.7,192.1303269,0
2010,5,65.4,207.7741263,0
2010,6,118.25,178.0591601,NA
2010,7,197.9,162.1163472,NA
2010,8,260.7,142.6303269,18.21492686
2010,9,123.5,140.4268602,12.45337905
2010,10,72.4,163.3090192,4.212558367
2010,11,0,165.3633315,NA
2010,12,0,164.9936584,0
2011,1,0,173.3477734,0
2011,2,0.55,171.985823,0
2011,3,0.4,212.3487599,0
2011,4,12.65,208.0932638,0
2011,5,23.3,212.322097,0
2011,6,107.6,186.6345829,NA
2011,7,177.65,165.422097,NA
2011,8,185.6,142.8942503,NA
2011,9,80.15,157.7552988,6.015665143
2011,10,9.45,176.8790868,0.987554532
2011,11,0,163.2930665,NA
2011,12,0,169.7435175,0
2012,1,0,180.6529312,0
2012,2,0,191.6662063,0
2012,3,0,214.4777057,0
2012,4,14.05,197.6723506,0
2012,5,43.8,214.6771984,NA
2012,6,126.85,185.3313134,NA
2012,7,251.95,155.1524239,4.007287924
2012,8,299.85,146.0573844,23.22555429
2012,9,236.8,140.8756201,NA
2012,10,9.85,172.5629369,NA
2012,11,0,171.614177,NA
2012,12,0.15,174.3129932,0
2013,1,0,182.3654171,0
2013,2,0,172.1592728,0
2013,3,5.05,207.3901917,0
2013,4,21.25,200.663726,0
2013,5,45.95,221.2366685,NA
2013,6,71.3,200.9249718,NA
2013,7,179.25,168.0888952,NA
2013,8,244.35,136.4969278,NA
2013,9,163.5,151.0241826,NA
2013,10,23.3,177.6664036,NA
2013,11,0,168.6836528,NA
2013,12,0,175.7558061,NA
2014,1,2.9,174.4584837,0
2014,2,0.7,172.6521421,0
2014,3,0.05,180.3773112,0
2014,4,8.95,202.9744363,0
2014,5,88.15,194.3629369,0
2014,6,78.4,189.1554961,2.881798971
2014,7,193.95,156.1844419,9.241627886
2014,8,189.3,143.4301297,14.87643017
2014,9,181.1,144.4120913,15.39934485
2014,10,61.75,170.6596674,NA
2014,11,0,161.4322153,NA
2014,12,0,174.022407,0
